State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,62.2%,61.6%,56.9%,"132,609,063","131,304,731","213,313,508","230,872,030",8.4%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217"
Alabama,61.0%,60.8%,58.4%,"2,105,622","2,099,819","3,454,510","3,595,708",2.2%,"30,508","53,252","8,042","61,155","74,079"
Alaska,68.3%,68.0%,64.3%,"327,341","326,197","479,429","507,645",3.7%,"5,014","6,708","1,732","9,234","60,686"
Arizona,57.4%,56.7%,49.1%,"2,320,851","2,293,475","4,046,075","4,673,718",11.6%,"39,589","82,232","7,534","84,472","90,036"
Arkansas,52.9%,52.5%,50.0%,"1,095,958","1,086,617","2,071,563","2,174,846",2.9%,"14,716","31,169","19,908","40,255","43,963"
California,61.7%,60.9%,49.5%,"13,743,177","13,561,900","22,261,504","27,411,094",17.9%,"173,670",0,"120,753","234,047","486,207"
Colorado,71.6%,71.0%,64.7%,"2,422,236","2,401,361","3,382,959","3,708,955",8.0%,"23,274",0,"11,654","29,101","71,854"
Connecticut,,66.6%,60.4%,,"1,646,792","2,471,082","2,725,917",8.5%,"20,661",0,"2,328","21,825","45,799"
Delaware,65.8%,65.6%,60.6%,"413,562","412,398","628,200","680,493",5.3%,"7,075","17,216",551,"15,959","12,658"
District of Columbia,61.7%,61.5%,55.2%,"266,871","265,853","432,566","481,971",10.3%,0,0,0,0,"6,916"
Florida,66.6%,66.1%,57.6%,"8,453,743","8,390,744","12,687,407","14,558,436",11.2%,"102,388","279,760","4,528","244,532","451,907"
Georgia,62.7%,62.5%,55.6%,"3,940,705","3,924,440","6,281,872","7,063,638",7.3%,"52,719","397,081","23,448","262,984","141,001"
Hawaii,49.0%,48.8%,43.8%,"456,064","453,568","930,067","1,036,088",9.7%,"5,955",0,0,"5,955","20,090"
Idaho,64.8%,63.6%,58.6%,"667,506","655,032","1,029,416","1,117,842",4.9%,"7,290","49,513","3,361","33,727","26,779"
Illinois,64.3%,63.6%,57.4%,"5,578,195","5,523,051","8,681,138","9,615,700",9.2%,"45,474",0,0,"45,474","200,530"
Indiana,60.3%,59.1%,57.0%,"2,805,986","2,751,054","4,653,019","4,826,231",3.0%,"28,322",0,0,"28,322","89,605"
Iowa,69.7%,69.4%,66.9%,"1,543,662","1,537,123","2,216,094","2,298,515",2.6%,"8,766","22,958","3,159","21,825","43,108"
Kansas,63.5%,62.0%,58.8%,"1,264,208","1,235,872","1,991,759","2,100,084",4.2%,"8,539","16,263","4,958","19,150","42,495"
Kentucky,59.0%,57.9%,55.7%,"1,858,578","1,826,508","3,152,629","3,277,617",2.2%,"21,706","51,035","12,277","53,362","58,518"
Louisiana,61.8%,61.2%,58.7%,"1,979,852","1,960,761","3,205,794","3,342,279",2.0%,"38,381","40,025","24,636","70,712","68,285"
Maine,71.8%,70.6%,69.6%,"744,456","731,163","1,036,242","1,049,816",1.3%,0,0,0,0,"21,362"
