index,year,state,state_po,candidate,party,candidatevotes,totalvotes
3080,2012,Alabama,AL,"Obama, Barack H.",democrat,795696,2074338
3084,2012,Alaska,AK,"Obama, Barack H.",democrat,122640,300495
3089,2012,Arizona,AZ,"Obama, Barack H.",democrat,1025232,2299254
3094,2012,Arkansas,AR,"Obama, Barack H.",democrat,394409,1069468
3098,2012,California,CA,"Obama, Barack H.",democrat,7854285,13038547
3105,2012,Colorado,CO,"Obama, Barack H.",democrat,1323101,2569516
3121,2012,Connecticut,CT,"Obama, Barack H.",democrat,905083,1558204
3126,2012,Delaware,DE,"Obama, Barack H.",democrat,242584,413890
3130,2012,District of Columbia,DC,"Obama, Barack H.",democrat,267070,293764
3135,2012,Florida,FL,"Obama, Barack H.",democrat,4237756,8474179
3149,2012,Georgia,GA,"Obama, Barack H.",democrat,1773827,3897839
3151,2012,Hawaii,HI,"Obama, Barack H.",democrat,306658,437159
3158,2012,Idaho,ID,"Obama, Barack H.",democrat,212787,652274
3162,2012,Illinois,IL,"Obama, Barack H.",democrat,3019512,5242014
3168,2012,Indiana,IN,"Obama, Barack H.",democrat,1152887,2624534
3171,2012,Iowa,IA,"Obama, Barack H.",democrat,822544,1582180
3181,2012,Kansas,KS,"Obama, Barack H.",democrat,440726,1159971
3186,2012,Kentucky,KY,"Obama, Barack H.",democrat,679370,1797212
3192,2012,Louisiana,LA,"Obama, Barack H.",democrat,809141,1994065
3202,2012,Maine,ME,"Obama, Barack H.",democrat,401306,724758
3208,2012,Maryland,MD,"Obama, Barack H.",democrat,1677844,2707327
3213,2012,Massachusetts,MA,"Obama, Barack H.",democrat,1921290,3184196
3219,2012,Michigan,MI,"Obama, Barack H.",democrat,2564569,4730961
3237,2012,Mississippi,MS,"Obama, Barack H.",democrat,562949,1285584
3243,2012,Missouri,MO,"Obama, Barack H.",democrat,1223796,2757323
3247,2012,Montana,MT,"Obama, Barack H.",democrat,201839,484048
3251,2012,Nebraska,NE,"Obama, Barack H.",democrat,302081,794379
3255,2012,Nevada,NV,"Obama, Barack H.",democrat,531373,1014918
3260,2012,New Hampshire,NH,"Obama, Barack H.",democrat,369561,710972
3266,2012,New Jersey,NJ,"Obama, Barack H.",democrat,2122786,3638499
3276,2012,New Mexico,NM,"Obama, Barack H.",democrat,415335,783758
3282,2012,New York,NY,"Obama, Barack H.",democrat,4324228,7116784
3293,2012,North Carolina,NC,"Obama, Barack H.",democrat,2178391,4505372
3297,2012,North Dakota,ND,"Obama, Barack H.",democrat,124966,322932
3302,2012,Ohio,OH,"Obama, Barack H.",democrat,2827621,5580822
3311,2012,Oklahoma,OK,"Obama, Barack H.",democrat,443547,1334872
3312,2012,Oregon,OR,"Obama, Barack H.",democrat,970488,1789270
3319,2012,Pennsylvania,PA,"Obama, Barack H.",democrat,2990274,5742040
3323,2012,Rhode Island,RI,"Obama, Barack H.",democrat,279677,446049
3332,2012,South Carolina,SC,"Obama, Barack H.",democrat,865941,1964118
3337,2012,South Dakota,SD,"Obama, Barack H.",democrat,145039,363815
3341,2012,Tennessee,TN,"Obama, Barack H.",democrat,960709,2458577
3346,2012,Texas,TX,"Obama, Barack H.",democrat,3308124,7993851
3351,2012,Utah,UT,"Obama, Barack H.",democrat,251813,1017440
3358,2012,Vermont,VT,"Obama, Barack H.",democrat,199239,299290
3364,2012,Virginia,VA,"Obama, Barack H.",democrat,1971820,3854489
3370,2012,Washington,WA,"Obama, Barack H.",democrat,1755396,3125516
3379,2012,West Virginia,WV,"Obama, Barack H.",democrat,238269,670438
3383,2012,Wisconsin,WI,"Obama, Barack H.",democrat,1620985,3071434
3389,2012,Wyoming,WY,"Obama, Barack H.",democrat,69286,250701
