,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes
0,2004,Alabama,AL,"Bush, George W.",republican,1176394,AL,"Kerry, John",democrat,693933,1883415
1,2004,Alaska,AK,"Bush, George W.",republican,190889,AK,"Kerry, John",democrat,111025,312598
2,2004,Arizona,AZ,"Bush, George W.",republican,1104294,AZ,"Kerry, John",democrat,893524,2012585
3,2004,Arkansas,AR,"Bush, George W.",republican,572898,AR,"Kerry, John",democrat,469953,1054945
4,2004,California,CA,"Bush, George W.",republican,5509826,CA,"Kerry, John",democrat,6745485,12421353
5,2004,Colorado,CO,"Bush, George W.",republican,1101255,CO,"Kerry, John",democrat,1001732,2129630
6,2004,Connecticut,CT,"Bush, George W.",republican,693826,CT,"Kerry, John",democrat,857488,1578769
7,2004,Delaware,DE,"Bush, George W.",republican,171660,DE,"Kerry, John",democrat,200152,375190
8,2004,District of Columbia,DC,"Bush, George W.",republican,21256,DC,"Kerry, John",democrat,202970,227586
9,2004,Florida,FL,"Bush, George W.",republican,3964522,FL,"Kerry, John",democrat,3583544,7609810
10,2004,Georgia,GA,"Bush, George W.",republican,1914254,GA,"Kerry, John",democrat,1366149,3301875
11,2004,Hawaii,HI,"Bush, George W.",republican,194191,HI,"Kerry, John",democrat,231708,429013
12,2004,Idaho,ID,"Bush, George W.",republican,409235,ID,"Kerry, John",democrat,181098,598376
13,2004,Illinois,IL,"Bush, George W.",republican,2345946,IL,"Kerry, John",democrat,2891550,5274322
14,2004,Indiana,IN,"Bush, George W.",republican,1479438,IN,"Kerry, John",democrat,969011,2468002
15,2004,Iowa,IA,"Bush, George W.",republican,751957,IA,"Kerry, John",democrat,741898,1506908
16,2004,Kansas,KS,"Bush, George W.",republican,736456,KS,"Kerry, John",democrat,434993,1187756
17,2004,Kentucky,KY,"Bush, George W.",republican,1069439,KY,"Kerry, John",democrat,712733,1795882
18,2004,Louisiana,LA,"Bush, George W.",republican,1102169,LA,"Kerry, John",democrat,820299,1943106
19,2004,Maine,ME,"Bush, George W.",republican,330201,ME,"Kerry, John",democrat,396842,740752
20,2004,Maryland,MD,"Bush, George W.",republican,1024703,MD,"Kerry, John",democrat,1334493,2384238
21,2004,Maryland,MD,"Bush, George W.",republican,1024703,MD,Other,democrat,7,2384238
22,2004,Massachusetts,MA,"Bush, George W.",republican,1071109,MA,"Kerry, John",democrat,1803800,2927455
23,2004,Michigan,MI,"Bush, George W.",republican,2313746,MI,"Kerry, John",democrat,2479183,4839252
24,2004,Mississippi,MS,"Bush, George W.",republican,672660,MS,"Kerry, John",democrat,457766,1139824
25,2004,Missouri,MO,"Bush, George W.",republican,1455713,MO,"Kerry, John",democrat,1259171,2731364
26,2004,Montana,MT,"Bush, George W.",republican,266063,MT,"Kerry, John",democrat,173710,450434
27,2004,Nebraska,NE,"Bush, George W.",republican,512814,NE,"Kerry, John",democrat,254328,778186
28,2004,Nevada,NV,"Bush, George W.",republican,418690,NV,"Kerry, John",democrat,397190,829587
29,2004,New Hampshire,NH,"Bush, George W.",republican,331237,NH,"Kerry, John",democrat,340511,678287
30,2004,New Jersey,NJ,"Bush, George W.",republican,1670003,NJ,"Kerry, John",democrat,1911430,3611691
31,2004,New Mexico,NM,"Bush, George W.",republican,376930,NM,"Kerry, John",democrat,370942,756304
32,2004,New York,NY,"Bush, George W.",republican,2806993,NY,"Kerry, John",democrat,4180755,7448266
33,2004,North Carolina,NC,"Bush, George W.",republican,1961166,NC,"Kerry, John",democrat,1525849,3501007
34,2004,North Dakota,ND,"Bush, George W.",republican,196651,ND,"Kerry, John",democrat,111052,312833
35,2004,Ohio,OH,"Bush, George W.",republican,2859764,OH,"Kerry, John",democrat,2741165,5627903
36,2004,Oklahoma,OK,"Bush, George W.",republican,959792,OK,"Kerry, John",democrat,503966,1463758
37,2004,Oregon,OR,"Bush, George W.",republican,866831,OR,"Kerry, John",democrat,943163,1836782
38,2004,Pennsylvania,PA,"Bush, George W.",republican,2793847,PA,"Kerry, John",democrat,2938095,5769590
39,2004,Rhode Island,RI,"Bush, George W.",republican,169046,RI,"Kerry, John",democrat,259760,437134
40,2004,South Carolina,SC,"Bush, George W.",republican,937974,SC,"Kerry, John",democrat,661669,1617700
41,2004,South Dakota,SD,"Bush, George W.",republican,232584,SD,"Kerry, John",democrat,149244,388215
42,2004,Tennessee,TN,"Bush, George W.",republican,1384375,TN,"Kerry, John",democrat,1036477,2437319
43,2004,Texas,TX,"Bush, George W.",republican,4526917,TX,"Kerry, John",democrat,2832704,7410749
44,2004,Utah,UT,"Bush, George W.",republican,663742,UT,"Kerry, John",democrat,241199,927844
45,2004,Vermont,VT,"Bush, George W.",republican,121180,VT,"Kerry, John",democrat,184067,312309
46,2004,Virginia,VA,"Bush, George W.",republican,1716959,VA,"Kerry, John",democrat,1454742,3195415
47,2004,Washington,WA,"Bush, George W.",republican,1304894,WA,"Kerry, John",democrat,1510201,2859084
48,2004,West Virginia,WV,"Bush, George W.",republican,423778,WV,"Kerry, John",democrat,326541,755792
49,2004,Wisconsin,WI,"Bush, George W.",republican,1478120,WI,"Kerry, John",democrat,1489504,2997007
50,2004,Wyoming,WY,"Bush, George W.",republican,167629,WY,"Kerry, John",democrat,70776,243861
