,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes
0,2008,Alabama,AL,"McCain, John",republican,1266546,AL,"Obama, Barack H.",democrat,813479,2099819
1,2008,Alaska,AK,"McCain, John",republican,193841,AK,"Obama, Barack H.",democrat,123594,326197
2,2008,Arizona,AZ,"McCain, John",republican,1230111,AZ,"Obama, Barack H.",democrat,1034707,2293475
3,2008,Arkansas,AR,"McCain, John",republican,638017,AR,"Obama, Barack H.",democrat,422310,1086617
4,2008,California,CA,"McCain, John",republican,5011781,CA,"Obama, Barack H.",democrat,8274473,13561900
5,2008,Colorado,CO,"McCain, John",republican,1073589,CO,"Obama, Barack H.",democrat,1288576,2401361
6,2008,Connecticut,CT,"McCain, John",republican,629428,CT,"Obama, Barack H.",democrat,997772,1646792
7,2008,Delaware,DE,"McCain, John",republican,152374,DE,"Obama, Barack H.",democrat,255459,412412
8,2008,District of Columbia,DC,"McCain, John",republican,17367,DC,"Obama, Barack H.",democrat,245800,265853
9,2008,Florida,FL,"McCain, John",republican,4045624,FL,"Obama, Barack H.",democrat,4282074,8390744
10,2008,Georgia,GA,"McCain, John",republican,2048759,GA,"Obama, Barack H.",democrat,1844123,3924486
11,2008,Hawaii,HI,"McCain, John",republican,120566,HI,"Obama, Barack H.",democrat,325871,456064
12,2008,Idaho,ID,"McCain, John",republican,403012,ID,"Obama, Barack H.",democrat,236440,655122
13,2008,Illinois,IL,"McCain, John",republican,2031179,IL,"Obama, Barack H.",democrat,3419348,5522371
14,2008,Indiana,IN,"McCain, John",republican,1345648,IN,"Obama, Barack H.",democrat,1374039,2751054
15,2008,Iowa,IA,"McCain, John",republican,682379,IA,"Obama, Barack H.",democrat,828940,1537123
16,2008,Kansas,KS,"McCain, John",republican,699655,KS,"Obama, Barack H.",democrat,514765,1235872
17,2008,Kentucky,KY,"McCain, John",republican,1048462,KY,"Obama, Barack H.",democrat,751985,1826620
18,2008,Louisiana,LA,"McCain, John",republican,1148275,LA,"Obama, Barack H.",democrat,782989,1960761
19,2008,Maine,ME,"McCain, John",republican,295273,ME,"Obama, Barack H.",democrat,421923,731163
20,2008,Maryland,MD,"McCain, John",republican,959862,MD,"Obama, Barack H.",democrat,1629467,2631596
21,2008,Massachusetts,MA,"McCain, John",republican,1108854,MA,"Obama, Barack H.",democrat,1904097,3102995
22,2008,Michigan,MI,"McCain, John",republican,2048639,MI,"Obama, Barack H.",democrat,2872579,5001596
23,2008,Minnesota,MN,"McCain, John",republican,1275409,MN,"Obama, Barack H.",democrat,1573354,2910369
24,2008,Mississippi,MS,"McCain, John",republican,724597,MS,"Obama, Barack H.",democrat,554662,1289865
25,2008,Missouri,MO,"McCain, John",republican,1445814,MO,"Obama, Barack H.",democrat,1441911,2925205
26,2008,Montana,MT,"McCain, John",republican,242763,MT,"Obama, Barack H.",democrat,231667,490109
27,2008,Nebraska,NE,"McCain, John",republican,452979,NE,"Obama, Barack H.",democrat,333319,801281
28,2008,Nevada,NV,"McCain, John",republican,412827,NV,"Obama, Barack H.",democrat,533736,967848
29,2008,New Hampshire,NH,"McCain, John",republican,316534,NH,"Obama, Barack H.",democrat,384826,710970
30,2008,New Jersey,NJ,"McCain, John",republican,1613207,NJ,"Obama, Barack H.",democrat,2215422,3868237
31,2008,New Mexico,NM,"McCain, John",republican,346832,NM,"Obama, Barack H.",democrat,472422,830158
32,2008,New York,NY,"McCain, John",republican,2418323,NY,"Obama, Barack H.",democrat,4645332,7722019
33,2008,North Carolina,NC,"McCain, John",republican,2128474,NC,"Obama, Barack H.",democrat,2142651,4310851
34,2008,North Dakota,ND,"McCain, John",republican,168601,ND,"Obama, Barack H.",democrat,141278,316621
35,2008,Ohio,OH,"McCain, John",republican,2677820,OH,"Obama, Barack H.",democrat,2940044,5708350
36,2008,Oklahoma,OK,"McCain, John",republican,960165,OK,"Obama, Barack H.",democrat,502496,1462661
37,2008,Oregon,OR,"McCain, John",republican,738475,OR,"Obama, Barack H.",democrat,1037291,1827864
38,2008,Pennsylvania,PA,"McCain, John",republican,2655885,PA,"Obama, Barack H.",democrat,3276363,6013272
39,2008,Rhode Island,RI,"McCain, John",republican,165391,RI,"Obama, Barack H.",democrat,296571,471766
40,2008,South Carolina,SC,"McCain, John",republican,1034896,SC,"Obama, Barack H.",democrat,862449,1920969
41,2008,South Dakota,SD,"McCain, John",republican,203054,SD,"Obama, Barack H.",democrat,170924,381975
42,2008,Tennessee,TN,"McCain, John",republican,1479178,TN,"Obama, Barack H.",democrat,1087437,2599749
43,2008,Texas,TX,"McCain, John",republican,4479328,TX,"Obama, Barack H.",democrat,3528633,8077795
44,2008,Utah,UT,"McCain, John",republican,596030,UT,"Obama, Barack H.",democrat,327670,952370
45,2008,Vermont,VT,"McCain, John",republican,98974,VT,"Obama, Barack H.",democrat,219262,325046
46,2008,Virginia,VA,"McCain, John",republican,1725005,VA,"Obama, Barack H.",democrat,1959532,3723260
47,2008,Washington,WA,"McCain, John",republican,1229216,WA,"Obama, Barack H.",democrat,1750848,3036878
48,2008,West Virginia,WV,"McCain, John",republican,397466,WV,"Obama, Barack H.",democrat,303857,713451
49,2008,Wisconsin,WI,"McCain, John",republican,1262393,WI,"Obama, Barack H.",democrat,1677211,2983417
50,2008,Wyoming,WY,"McCain, John",republican,164958,WY,"Obama, Barack H.",democrat,82868,254904
