,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes,Latitude,Longitude
0,2000,Alabama,AL,"Bush, George W.",republican,941173,AL,"Gore, Al",democrat,692611,1666272,32.31823,-86.902298
1,2000,Alaska,AK,"Bush, George W.",republican,167398,AK,"Gore, Al",democrat,79004,285560,66.160507,-153.36914099999998
2,2000,Arizona,AZ,"Bush, George W.",republican,781652,AZ,"Gore, Al",democrat,685341,1532016,34.048927,-111.09373500000001
3,2000,Arkansas,AR,"Bush, George W.",republican,472940,AR,"Gore, Al",democrat,422768,921781,34.799999,-92.199997
4,2000,California,CA,"Bush, George W.",republican,4567429,CA,"Gore, Al",democrat,5861203,10965822,36.778259000000006,-119.41793100000001
5,2000,Colorado,CO,"Bush, George W.",republican,883748,CO,"Gore, Al",democrat,738227,1741368,39.113014,-105.35888700000001
6,2000,Connecticut,CT,"Bush, George W.",republican,561094,CT,"Gore, Al",democrat,816015,1459525,41.599998,-72.699997
7,2000,Delaware,DE,"Bush, George W.",republican,137288,DE,"Gore, Al",democrat,180068,327529,39.0,-75.5
8,2000,Florida,FL,"Bush, George W.",republican,2912790,FL,"Gore, Al",democrat,2912253,5963110,27.994402,-81.760254
9,2000,Georgia,GA,"Bush, George W.",republican,1419720,GA,"Gore, Al",democrat,1116230,2583208,33.247875,-83.441162
10,2000,Hawaii,HI,"Bush, George W.",republican,137845,HI,"Gore, Al",democrat,205286,367951,19.741754999999998,-155.844437
11,2000,Idaho,ID,"Bush, George W.",republican,336937,ID,"Gore, Al",democrat,138637,501615,44.068203000000004,-114.742043
12,2000,Illinois,IL,"Bush, George W.",republican,2019421,IL,"Gore, Al",democrat,2589026,4742108,40.0,-89.0
13,2000,Indiana,IN,"Bush, George W.",republican,1245836,IN,"Gore, Al",democrat,901980,2199302,40.273502,-86.126976
14,2000,Iowa,IA,"Bush, George W.",republican,634373,IA,"Gore, Al",democrat,638517,1353022,42.032973999999996,-93.58154300000001
15,2000,Kansas,KS,"Bush, George W.",republican,622332,KS,"Gore, Al",democrat,399276,1072216,38.5,-98.0
16,2000,Kentucky,KY,"Bush, George W.",republican,872520,KY,"Gore, Al",democrat,638923,1544106,37.839333,-84.27002
17,2000,Louisiana,LA,"Bush, George W.",republican,927871,LA,"Gore, Al",democrat,792344,1765656,30.39183,-92.329102
18,2000,Maine,ME,"Bush, George W.",republican,286616,ME,"Gore, Al",democrat,319951,651817,45.367584,-68.97216800000001
19,2000,Maryland,MD,"Bush, George W.",republican,813827,MD,"Gore, Al",democrat,1144008,2025212,39.045753000000005,-76.641273
20,2000,Massachusetts,MA,"Bush, George W.",republican,878502,MA,"Gore, Al",democrat,1616487,2733964,42.407211,-71.382439
21,2000,Michigan,MI,"Bush, George W.",republican,1953139,MI,"Gore, Al",democrat,2170418,4232501,44.182204999999996,-84.50683599999999
22,2000,Mississippi,MS,"Bush, George W.",republican,572844,MS,"Gore, Al",democrat,404614,994184,33.0,-90.0
23,2000,Missouri,MO,"Bush, George W.",republican,1189924,MO,"Gore, Al",democrat,1111138,2359892,38.573935999999996,-92.60376
24,2000,Montana,MT,"Bush, George W.",republican,240178,MT,"Gore, Al",democrat,137126,410986,46.96526,-109.53369099999999
25,2000,Nebraska,NE,"Bush, George W.",republican,433862,NE,"Gore, Al",democrat,231780,697019,41.5,-100.0
26,2000,Nevada,NV,"Bush, George W.",republican,301575,NV,"Gore, Al",democrat,279978,609426,39.876019,-117.224121
27,2000,New Hampshire,NH,"Bush, George W.",republican,273559,NH,"Gore, Al",democrat,266348,569081,44.0,-71.5
28,2000,New Jersey,NJ,"Bush, George W.",republican,1284173,NJ,"Gore, Al",democrat,1788850,3187226,39.833851,-74.871826
29,2000,New Mexico,NM,"Bush, George W.",republican,286417,NM,"Gore, Al",democrat,286783,598605,34.307144,-106.01806599999999
30,2000,New York,NY,"Bush, George W.",republican,2258577,NY,"Gore, Al",democrat,3942215,6960215,43.0,-75.0
31,2000,North Carolina,NC,"Bush, George W.",republican,1631163,NC,"Gore, Al",democrat,1257692,2914990,35.782169,-80.79345699999999
32,2000,North Dakota,ND,"Bush, George W.",republican,174852,ND,"Gore, Al",democrat,95284,288256,47.650589000000004,-100.437012
33,2000,Ohio,OH,"Bush, George W.",republican,2350363,OH,"Gore, Al",democrat,2183628,4701998,40.367474,-82.996216
34,2000,Oklahoma,OK,"Bush, George W.",republican,744337,OK,"Gore, Al",democrat,474276,1234229,36.084621000000006,-96.921387
35,2000,Oregon,OR,"Bush, George W.",republican,713577,OR,"Gore, Al",democrat,720342,1533950,44.0,-120.5
