,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes,Place Name,Latitude,Longitude
0,2016,Alabama,AL,"Trump, Donald J.",republican,1318255,AL,"Clinton, Hillary",democrat,729547,2123372,"Alabama, USA",32.31823,-86.902298
1,2016,Alaska,AK,"Trump, Donald J.",republican,163387,AK,"Clinton, Hillary",democrat,116454,318608,"Alaska, USA",66.160507,-153.36914099999998
2,2016,Arizona,AZ,"Trump, Donald J.",republican,1252401,AZ,"Clinton, Hillary",democrat,1161167,2573165,"Arizona, USA",34.048927,-111.09373500000001
3,2016,Arkansas,AR,"Trump, Donald J.",republican,684872,AR,"Clinton, Hillary",democrat,380494,1130635,"Arkansas, the US",34.799999,-92.199997
4,2016,California,CA,"Trump, Donald J.",republican,4483810,CA,"Clinton, Hillary",democrat,8753788,14181595,"California, the USA",36.778259000000006,-119.41793100000001
5,2016,Colorado,CO,"Trump, Donald J.",republican,1202484,CO,"Clinton, Hillary",democrat,1338870,2780220,"Colorado, USA",39.113014,-105.35888700000001
6,2016,Connecticut,CT,"Trump, Donald J.",republican,673215,CT,"Clinton, Hillary",democrat,897572,1644920,"Connecticut, the US",41.599998,-72.699997
7,2016,Delaware,DE,"Trump, Donald J.",republican,185127,DE,"Clinton, Hillary",democrat,235603,441590,"Delaware, the US",39.0,-75.5
8,2016,Florida,FL,"Trump, Donald J.",republican,4617886,FL,"Clinton, Hillary",democrat,4504975,9420039,"Florida, USA",27.994402,-81.760254
9,2016,Georgia,GA,"Trump, Donald J.",republican,2089104,GA,"Clinton, Hillary",democrat,1877963,4114732,"Georgia, the USA",33.247875,-83.441162
10,2016,Hawaii,HI,"Trump, Donald J.",republican,128847,HI,"Clinton, Hillary",democrat,266891,437664,"Hawaii, USA",19.741754999999998,-155.844437
11,2016,Idaho,ID,"Trump, Donald J.",republican,409055,ID,"Clinton, Hillary",democrat,189765,690255,"Idaho, USA",44.068203000000004,-114.742043
12,2016,Illinois,IL,"Trump, Donald J.",republican,2146015,IL,"Clinton, Hillary",democrat,3090729,5536424,"Illinois, the US",40.0,-89.0
13,2016,Indiana,IN,"Trump, Donald J.",republican,1557286,IN,"Clinton, Hillary",democrat,1033126,2734958,"Indiana, USA",40.273502,-86.126976
14,2016,Iowa,IA,"Trump, Donald J.",republican,800983,IA,"Clinton, Hillary",democrat,653669,1565580,"Iowa, the USA",42.032973999999996,-93.58154300000001
15,2016,Kansas,KS,"Trump, Donald J.",republican,671018,KS,"Clinton, Hillary",democrat,427005,1184402,"Kansas, the US",38.5,-98.0
16,2016,Kentucky,KY,"Trump, Donald J.",republican,1202971,KY,"Clinton, Hillary",democrat,628854,1924149,"Kentucky, USA",37.839333,-84.27002
17,2016,Louisiana,LA,"Trump, Donald J.",republican,1178638,LA,"Clinton, Hillary",democrat,780154,2029032,"Louisiana, USA",30.39183,-92.329102
18,2016,Maine,ME,"Trump, Donald J.",republican,335593,ME,"Clinton, Hillary",democrat,357735,771892,"Maine, the USA",45.367584,-68.97216800000001
19,2016,Maryland,MD,"Trump, Donald J.",republican,943169,MD,"Clinton, Hillary",democrat,1677928,2781446,"Maryland, USA",39.045753000000005,-76.641273
20,2016,Maryland,MD,"Trump, Donald J.",republican,943169,MD,"Clinton, Hillary",democrat,78,2781446,"Maryland, USA",39.045753000000005,-76.641273
21,2016,Maryland,MD,"Trump, Donald J.",republican,259,MD,"Clinton, Hillary",democrat,1677928,2781446,"Maryland, USA",39.045753000000005,-76.641273
22,2016,Maryland,MD,"Trump, Donald J.",republican,259,MD,"Clinton, Hillary",democrat,78,2781446,"Maryland, USA",39.045753000000005,-76.641273
23,2016,Massachusetts,MA,"Trump, Donald J.",republican,1090893,MA,"Clinton, Hillary",democrat,1995196,3378821,"Massachusetts, USA",42.407211,-71.382439
24,2016,Michigan,MI,"Trump, Donald J.",republican,2279543,MI,"Clinton, Hillary",democrat,2268839,4799284,"Michigan, USA",44.182204999999996,-84.50683599999999
25,2016,Minnesota,MN,"Trump, Donald J.",republican,1322949,MN,"Clinton, Hillary",democrat,1367705,2944782,"Minnesota, USA",46.39241,-94.63623
