index,year,state,state_po,candidate,party,candidatevotes,totalvotes
3395,2016,Alabama,AL,"Trump, Donald J.",republican,1318255,2123372
3400,2016,Alaska,AK,"Trump, Donald J.",republican,163387,318608
3407,2016,Arizona,AZ,"Trump, Donald J.",republican,1252401,2573165
3417,2016,Arkansas,AR,"Trump, Donald J.",republican,684872,1130635
3426,2016,California,CA,"Trump, Donald J.",republican,4483810,14181595
3432,2016,Colorado,CO,"Trump, Donald J.",republican,1202484,2780220
3452,2016,Connecticut,CT,"Trump, Donald J.",republican,673215,1644920
3457,2016,Delaware,DE,"Trump, Donald J.",republican,185127,441590
3461,2016,District of Columbia,DC,"Trump, Donald J.",republican,12723,312575
3467,2016,Florida,FL,"Trump, Donald J.",republican,4617886,9420039
3474,2016,Georgia,GA,"Trump, Donald J.",republican,2089104,4114732
3479,2016,Hawaii,HI,"Trump, Donald J.",republican,128847,437664
3485,2016,Idaho,ID,"Trump, Donald J.",republican,409055,690255
3491,2016,Illinois,IL,"Trump, Donald J.",republican,2146015,5536424
3495,2016,Indiana,IN,"Trump, Donald J.",republican,1557286,2734958
3502,2016,Iowa,IA,"Trump, Donald J.",republican,800983,1565580
3512,2016,Kansas,KS,"Trump, Donald J.",republican,671018,1184402
3517,2016,Kentucky,KY,"Trump, Donald J.",republican,1202971,1924149
3524,2016,Louisiana,LA,"Trump, Donald J.",republican,1178638,2029032
3530,2016,Maine,ME,"Trump, Donald J.",republican,335593,771892
3536,2016,Maryland,MD,"Trump, Donald J.",republican,943169,2781446
3545,2016,Massachusetts,MA,"Trump, Donald J.",republican,1090893,3378821
3551,2016,Michigan,MI,"Trump, Donald J.",republican,2279543,4799284
3559,2016,Minnesota,MN,"Trump, Donald J.",republican,1322949,2944782
3568,2016,Mississippi,MS,"Trump, Donald J.",republican,700714,1209357
3575,2016,Missouri,MO,"Trump, Donald J.",republican,1594511,2808605
3581,2016,Montana,MT,"Trump, Donald J.",republican,279240,494526
3586,2016,Nebraska,NE,"Trump, Donald J.",republican,495961,844227
3592,2016,Nevada,NV,"Trump, Donald J.",republican,512058,1125385
3598,2016,New Hampshire,NH,"Trump, Donald J.",republican,345790,744296
3605,2016,New Jersey,NJ,"Trump, Donald J.",republican,1601933,3874046
3614,2016,New Mexico,NM,"Trump, Donald J.",republican,319667,798319
3622,2016,New York,NY,"Trump, Donald J.",republican,2527142,7802084
3633,2016,North Carolina,NC,"Trump, Donald J.",republican,2362631,4741564
3638,2016,North Dakota,ND,"Trump, Donald J.",republican,216794,344360
3645,2016,Ohio,OH,"Trump, Donald J.",republican,2841005,5496487
3650,2016,Oklahoma,OK,"Trump, Donald J.",republican,949136,1452992
3654,2016,Oregon,OR,"Trump, Donald J.",republican,782403,2001336
3658,2016,Pennsylvania,PA,"Trump, Donald J.",republican,2970733,6115402
3664,2016,Rhode Island,RI,"Trump, Donald J.",republican,180543,464144
3669,2016,South Carolina,SC,"Trump, Donald J.",republican,1155389,2103027
3676,2016,South Dakota,SD,"Trump, Donald J.",republican,227721,370093
3680,2016,Tennessee,TN,"Trump, Donald J.",republican,1522925,2508027
3684,2016,Texas,TX,"Trump, Donald J.",republican,4685047,8969226
3689,2016,Utah,UT,"Trump, Donald J.",republican,515211,1131317
3696,2016,Vermont,VT,"Trump, Donald J.",republican,95369,320467
3705,2016,Virginia,VA,"Trump, Donald J.",republican,1769443,3982752
3711,2016,Washington,WA,"Trump, Donald J.",republican,1221747,3317019
3718,2016,West Virginia,WV,"Trump, Donald J.",republican,489371,713051
3723,2016,Wisconsin,WI,"Trump, Donald J.",republican,1405284,2976150
3732,2016,Wyoming,WY,"Trump, Donald J.",republican,174419,258788
